band,album,rating
Meshuggah,Nothing,5
Vildhjarta,Thousands of Evils,2
Vildhjarta,Thousands of Evils,5
Vildhjarta,Dar Skogen Sjunger,1
Vildhjarta,Masstaden,4
Vildhjarta,Masstaden,1
Meshuggah,Contradictions Collapse,0
Vildhjarta,Omnilash,0
Meshuggah,ObZen,5
Vildhjarta,Masstaden,5
Vildhjarta,Masstaden,3
Humanity's Last Breath,Ashen,7
Vildhjarta,Dar Skogen Sjunger,6
Vildhjarta,Omnilash,2
Vildhjarta,Dar Skogen Sjunger,4
Vildhjarta,Dar Skogen Sjunger,1
Vildhjarta,Thousands of Evils,3
Vildhjarta,Omnilash,3
Humanity's Last Breath,Humanity's Last Breath,1
Vildhjarta,Masstaden,3
Humanity's Last Breath,Vlade,5
Meshuggah,The Violent Sleep of Reason,2
Humanity's Last Breath,Ashen,3
Humanity's Last Breath,Ashen,1
Humanity's Last Breath,Vlade,3
Meshuggah,ObZen,8
Humanity's Last Breath,Abyssal,2
Vildhjarta,Omnilash,2
Meshuggah,Destroy Erase Improve,2
Humanity's Last Breath,Vlade,5
Meshuggah,Contradictions Collapse,2
Humanity's Last Breath,Ashen,1
Vildhjarta,Thousands of Evils,1
Humanity's Last Breath,Ashen,1
Meshuggah,The Violent Sleep of Reason,1
Meshuggah,Nothing,1
Vildhjarta,Omnilash,2
Humanity's Last Breath,Abyssal,1
Humanity's Last Breath,Vlade,3
Vildhjarta,Thousands of Evils,3
Humanity's Last Breath,Ashen,6
Meshuggah,Koloss,3
Meshuggah,ObZen,3
Meshuggah,Catch Thirtythree,3
Humanity's Last Breath,Abyssal,0
Vildhjarta,Omnilash,0
Meshuggah,Destroy Erase Improve,2
Meshuggah,Contradictions Collapse,0
Vildhjarta,Masstaden Under Vaten,7
Meshuggah,Contradictions Collapse,3
Vildhjarta,Omnilash,0
Humanity's Last Breath,Humanity's Last Breath,1
Vildhjarta,Thousands of Evils,5
Meshuggah,Destroy Erase Improve,0
Humanity's Last Breath,Ashen,2
Vildhjarta,Dar Skogen Sjunger,1
Meshuggah,Contradictions Collapse,0
Humanity's Last Breath,Abyssal,2
Meshuggah,Immutable,5
Humanity's Last Breath,Humanity's Last Breath,3
Vildhjarta,Masstaden Under Vaten,3
Meshuggah,Nothing,5
Meshuggah,Chaosphere,0
Humanity's Last Breath,Ashen,2
Vildhjarta,Omnilash,3
Humanity's Last Breath,Humanity's Last Breath,3
Vildhjarta,Dar Skogen Sjunger,6
Vildhjarta,Masstaden,6
Vildhjarta,Thousands of Evils,5
Meshuggah,Nothing,3
Vildhjarta,Masstaden,1
Meshuggah,Catch Thirtythree,4
Humanity's Last Breath,Vlade,0
Humanity's Last Breath,Humanity's Last Breath,2
Humanity's Last Breath,Humanity's Last Breath,7
Humanity's Last Breath,Abyssal,0
Meshuggah,Nothing,9
Humanity's Last Breath,Abyssal,0
